recipe_name,review_id,posting_time,rating,review_content,category,recipeID
아삭아삭 연근장아찌 만들기,ronaldo115,2017-06-08 17:52:21,5,"연근조림 정말 맛있어요!
꼭 다이어트해서 설현 몸매가 될거에요 ㅎㅎㅎ",저칼로리 다이어트,1
아삭아삭 연근장아찌 만들기,23990030,2018-09-18 23:58:50,5,꿀맛ㅇ,저칼로리 다이어트,1
아삭아삭 연근장아찌 만들기,66191572,2016-08-24 18:06:15,1,"맛있어욤 다름 다이어트 음식도 많이 알려주세요!♡♡♡
다름이아니라 이 음식을 먹고 나니까 3kg가 빠졌어요,",저칼로리 다이어트,1
아보카도 스프레드 연어 샌드위치,anna861227,2021-08-20 20:42:15,5,"와 이거 진짜 너무 맛있어요 ^^
독일사는데 간단하게 먹기 딱 좋네용 ㅎㅎ",저칼로리 다이어트,2
훈제연어샐러드 만드는법,92394941,2017-06-24 17:08:37,5,정말 맛납니다!!! 감사드려요!,저칼로리 다이어트,4
곤약 무침,22715898,2015-07-10 21:10:56,5,와우~! 정말 좋아요~~^^ 저는 파 대신 부추를 넣었어요~,저칼로리 다이어트,8
곤약 무침,44285658,2017-02-21 19:25:45,5,다이어트에 좋아용,저칼로리 다이어트,8
초간단 파래초무침,j19830818,2020-03-24 17:07:10,5,"다른 레시피 보다 만족스러워요
저는 매실액3 식초 2 간장 설탕 각 1.5 넣었어요
물기 꼭 짤고 냉장고 넣으니 비린내전혀!!!!",저칼로리 다이어트,9
초간단 파래초무침,10568734,2017-06-07 16:26:57,5,"맛있게 잘 해먹었어요
저는 새콤달콤 좋아해서 식초랑 매실즙 더 넣어했어요^^",저칼로리 다이어트,9
초간단 파래초무침,79170993,2019-08-29 22:15:39,5,"양념이 맛있어서~~ 하루만에 쓱싹~
간단하고 맛난 레시피 감사해요",저칼로리 다이어트,9
초간단 파래초무침,35670133,2022-01-31 12:45:03,5,명절 느끼한 음식사이에 파래초 무침 인기 짱이었어요,저칼로리 다이어트,9
초간단 파래초무침,ccoma1004,2017-12-22 21:21:13,5,"겨울에 바다향 그득나는 파래무침..
너무 맛있어요",저칼로리 다이어트,9
초간단 파래초무침,486cyj,2019-01-24 21:30:30,5,맛있게 잘 해먹었어요^^ 레시피감사해요♡,저칼로리 다이어트,9
초간단 파래초무침,14792598,2019-12-27 07:56:28,5,새콤달콤한 파래초무침 맛있게 무쳤네요~,저칼로리 다이어트,9
초간단 파래초무침,93656511,2017-12-08 09:24:20,5,바다향 가득한 맛입니다.,저칼로리 다이어트,9
초간단 파래초무침,96111574,2018-02-04 15:21:14,4,덕분에 맛나게 해먹었어요~너무 간단하네요ㅎㅎ전 많이 새콤한게 좋아서 식초랑 매실액 더 가감해먹었어요ㅎ,저칼로리 다이어트,9
미역자반볶음,12645639,2017-01-20 19:12:08,5,"맛이 짭쪼름하고 
달큰하기도해서
얘들 먹기도 좋네요
얘들이 좀더 달게 해달라고해서
물엿을 넣고 
설탕을 뿌려주었답니다~
감사합니다~",저칼로리 다이어트,11
재래김볶음,12673938,2019-06-10 11:57:19,5,"오래되 묵은내가 나서
버리려다 했는데 살려서
맛있게 먹었어요 
바삭하고 단짠맛으로
계속 손이 가네요^^",저칼로리 다이어트,12
재래김볶음,48616183,2018-04-25 18:28:33,5,맛있게 잘 만둘었어요.감사해요~,저칼로리 다이어트,12
재래김볶음,48048647,2021-07-25 18:53:54,5,애들이 진짜 잘먹네요~~~,저칼로리 다이어트,12
재래김볶음,ejin1205,2016-02-18 19:55:42,3,"고소하고 달달한 맛이네요~^^
자꾸 손이 가요~~",저칼로리 다이어트,12
파래김무침 만들기,25846202,2016-12-20 11:00:49,5,"아주 맛있었어요. 근데, 뭉치지 않게 하는 좋은 방법이 있으면 알려주세요. 나무 숫갈로 살살 버무리는데도 좀 뭉치는게 있었읍니다.",저칼로리 다이어트,13
간단한 밑반찬 김자반 만들기,50886698,2020-09-30 20:27:08,5,"아들이 김자반을 너무 좋아해서 자주 사다먹게되는데, 이젠 집에서 만들수 있게되서 너무 좋네요.시판 김자반과는 식감이 좀 다르지만 나름 맛있고 만족스럽습니다. 레시피 공개 감사합니다.^^",저칼로리 다이어트,14
간단한 밑반찬 김자반 만들기,73477310,2020-03-28 06:17:27,3,저는 마지막 단계에서 약불로 오오오오오오오오오오래 섞어야 됐어요 그랬는데도 불구하고 별로 바삭하지가 않았네요ㅠㅡㅜ맛은 괜찮았지만 시간이 너무 오래걸려 별 세개입니다,저칼로리 다이어트,14
무청 시래기 들깨볶음,56291867,2016-11-27 11:45:20,5,쪽파없어 생략...초보맘이라 열심히 따라 했는데 비슷해 보이나용? 맛도좋고 해서 살포시 맛평 올려보아용^^,저칼로리 다이어트,16
머위 장아찌 만들기,92627038,2023-05-11 13:10:58,5,레시피덕분에 맛있게 만들어 먹었읍니다 감사합니다,저칼로리 다이어트,17
깨순볶음,18171759,2019-05-30 20:24:26,5,"맛나게 만들어서 저녁 반찬으로 먹었는데 신랑이 맛있다고 하네요^^
또 해보려구요 
레시피 감사요",저칼로리 다이어트,20
깨순볶음,48677482,2023-08-02 19:08:04,5,"물기가 조금있는데 맛있게 잘되었어요
평상시에 매실액을 안넣었는데 너어보니 감칠맛이 더있어요 레시피 감사합니당",저칼로리 다이어트,20
깨순볶음,88388715,2020-06-06 20:05:33,5,깨순볶음 참 좋아하는데 레시피보고 맛나게 해서 밥 두 공기를 먹었네요^^감사합니다!,저칼로리 다이어트,20
깨순볶음,44392416,2017-06-16 23:59:23,5,깨순에 양념을 묻히고 후라이팬에 익히니 간도 잘배어있고 맛있네요~,저칼로리 다이어트,20
깨순볶음,78814945,2015-07-21 08:36:03,5,처음해봤는데 깻잎향도좋고 맛나네요^-^,저칼로리 다이어트,20
깨순볶음,20154625,2023-05-12 16:50:17,5,없는 재료는 빼고 만들었는데 맛있어요,저칼로리 다이어트,20
깨순볶음,13227303,2017-06-14 08:58:59,5,"맛있어요~
최고예요~^^",저칼로리 다이어트,20
깨순볶음,13591941,2016-05-25 22:38:20,5,맛있네요,저칼로리 다이어트,20
깨순볶음,91979962,2023-08-10 19:27:48,4,"국간장을 적게 넣은다고 했는데 그래도 짜네요~
그래도 제가 조아하는 반찬을 제 손으로 하다니~
감사해요^^",저칼로리 다이어트,20
깨순볶음,13366042,2017-06-26 16:06:55,4,맛있어요♡,저칼로리 다이어트,20
톳 두부무침,35068711,2016-02-16 21:48:27,5,최고의 레시피였어요^^ 시어머님이 해주신것 먹고싶어서 이 레시피 보고 도전해봤는데 시어머님이 해주신것보다 더 맛있네요!,저칼로리 다이어트,21
톳 두부무침,80909062,2019-03-05 23:44:29,5,"다이어트 반찬으로 만들었는데, 너무 맛있어서 만들면서 많이 퍼먹었어요ㅋㅋㅋ 짱",저칼로리 다이어트,21
톳 두부무침,66331567,2020-07-03 08:15:29,5,들깨가루도 넣었더니 더 고소하고 맛나요! 취향저격! 레시피 감사해요!,저칼로리 다이어트,21
톳 두부무침,80337487,2020-09-27 20:04:46,5,47년인생 처음으로 만들어 보았내요 그래도 앗게 만들어져 좋았내요,저칼로리 다이어트,21
톳 두부무침,11357457,2020-03-08 19:10:15,5,"처음 해봤는데, 맛있어요. 재료손질 설명이 크게 도움되었습니다.",저칼로리 다이어트,21
톳 두부무침,13021989,2017-11-08 21:45:48,5,감사합니다 거즈가 없어 좀 질긴 했으나 맛있어요 ^_^,저칼로리 다이어트,21
톳 두부무침,80554072,2021-01-10 07:11:44,5,"남편이 고소하구 맛나다고 하네요^^
감사해요",저칼로리 다이어트,21
톳 두부무침,62348046,2020-12-01 20:30:48,5,간단하면서도 맛도 최고네요~~,저칼로리 다이어트,21
톳 두부무침,75134902,2022-08-18 17:29:28,5,간단 하면서도 맛있어요~^^,저칼로리 다이어트,21
톳 두부무침,62982266,2016-03-04 15:02:20,5,아주 맛있어요,저칼로리 다이어트,21
노버터 두부쿠키 만들기,87278647,2016-11-20 10:50:12,4,저는반죽이좀질더라구요..그래서밀대로안밀고그냥손으로대충폈어요..그래도맛있더라고요..ㅎ남편이맥주안주로좋다네요^^,저칼로리 다이어트,23
노버터 두부쿠키 만들기,petal777,2017-09-27 20:51:06,1,"반죽이 너무 질어요...
너무 질어 밀대로 밀리지않아 손으로 폈는데 반죽이 두꺼워 이게 쿠키인지 빵인지 모르겠네요..
그리고 렌지에 수분을 날리니 식감 또한 넘 안좋네요. 
그냥 정석대로 팬으로 소보로 만들어 하는게 낫겠어요..ㅜㅜ
보통 이렇게까지 안쓰는데.. 아이는 쿠키커터로 찍히지않는다고 짜증내고 저는 니맛도 내맛도 아닌 쿠키에 좋은 재료 사온다고 고생한게 속상해 이렇게 남깁니다.ㅜㅠ",저칼로리 다이어트,23
감태국,14927032,2016-01-23 06:58:28,5,와우 어찌먹나 걱정했는데 감사합니다,저칼로리 다이어트,24
감태국,31340837,2016-01-10 11:31:30,4,"건강한 감태. 잘보고 만들었습니다. 식성에 따라틀리겠지만, 소금을 더 넣는게 저는 나은거같아요. 잘 먹었습니다~^ ^",저칼로리 다이어트,24
미역줄기볶음 - 간단한 밑반찬 만들기,32036959,2016-11-03 21:58:12,5,처음으로 미역줄기 요리를 해봤어요 처음인것 치곤 맛있게 잘됐어요! ㅎㅎㅎ 쉬운 방법 알려주셔서 감사해요,저칼로리 다이어트,25
미역줄기볶음 - 간단한 밑반찬 만들기,ksic87,2017-06-10 09:40:50,5,새댁이에요 ㅋㅋ 모든요리가 서투른 때 제일 맛있게 해먹었네요 포비님 감사해용!,저칼로리 다이어트,25
미역줄기볶음 - 간단한 밑반찬 만들기,12988421,2015-08-01 12:21:52,5,"제가 미역 종류를 엄청 좋아했어 직장다니면서 
혼자 해먹기도 글코 했어... 거진 올케나 언니.동생들이 반찬을 해주는편인데..어젠 밤이 너무 더워 잠도 안오고 했어 에어컨 밑에 채썰고 이런저런 나름? 준비만 다 해두고 잤는데..ㅋㅋ방금 완성 했어요..
일단 그림은 좋죠? 맛은....음...
일단 저만 아는걸루... (나름 맛은 있어요~) 
감사합니다~~ 더운데 지치지 마시고 홧띵!!",저칼로리 다이어트,25
미역줄기볶음 - 간단한 밑반찬 만들기,79210810,2017-03-23 14:40:27,5,"제 입맛에 적응되어있는 딱 그맛이네요^^
맛있어요~",저칼로리 다이어트,25
미역줄기볶음 - 간단한 밑반찬 만들기,41670254,2017-06-02 10:39:30,5,굴소스가 팁인거같아요 정말맛있었어요,저칼로리 다이어트,25
미역줄기볶음 - 간단한 밑반찬 만들기,65615057,2016-12-28 21:19:08,5,덕분에 맛나게 잘 했어요^^,저칼로리 다이어트,25
연잎밥 만드는법,87493910,2015-10-08 22:27:06,3,"<연잎찰밥>
따라해보았어요^^
압력밥솥에 먼저 찰밥을1차찌고 2인용 4회분량을 각각 연잎에싸서 냉동실에 보관했어요~^^
먹을때 냉동실에서 꺼내어 2차로 쪄서 먹을예정이에요~^^",저칼로리 다이어트,29
