recipeID,recipe_name,summary,ingredient_name,full_step,category,image_link
0,우엉양배추볶음밥,찬밥이 기다려지는 우엉양배추볶음밥입니다.,[재료] 찬 밥  적당량 양배추  적당량 우엉  적당량 느타리버섯  조금 다시마  (선택사항) [우엉 양념장] 일반간장  2숟가락 쌀엿  1/2숟가락 맛술  약간 참기름  약간 소금 ,"찬밥을 준비해주세요. 양배추와 우엉을 준비해주시고 양배추는 깨끗히 씻어서 잘게 잘라주세요. 우엉은 껍질 잘잘 까서 적당히 곱게 채썰어주세요. 느타리 버섯도 조금 떼내어서 쫄깃하게 씹히라고 잘게 다듬어주세요. 우영양념장을 만들어주세요. 일반간장 두숟가락, 쌀엿 반숟가락넣고 그밖에 맛술 약간, 참기름 약간으로 하시면 됩니다. 우엉이랑 버섯 기름 두른 후라이팬에 소금 약간 넣고 달달 볶다가 양념장을 넣어주시고 그대로 졸여주세요. 중약불에서 후라이팬 뚜껑을 닫고 은근히 씹는 맛을 살려주는 것이 좋기 떄문에 너무 물컹하게 익히지 말구요~ 양념장 적당히 흡수해서 갈색 빛 은근 무드있게 나타나면 찬밥을 넣어주세요. 찬밥 넣고 한 서너번 섞어준 다음에 양배추 잘게 다져서 한줌 정도 되는 양 골고루 뿌려주세요. 양배추 넣으면 불을 끌때가 다 된 것이라 생각하시면 됩니다. 깨소금까정 탈탈탈 털어주시면 진짜 불을 끌때라고 보시면 됩니다. 이미 우엉에 간장 양념 쏙쏙 들어갔기 때문에 색깔을 낸다고 간장이나 소금을 뿌리시면 짜게 되니 주의해주세요. 위에서 만든대로만 먹어도 너무 맛있지만 굳이하나를 더 얹어서 드시겠다면 다시마와 궁합이 잘 맞으니 참고해주세요.",저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/14/80c02dbd5837de6885876b30ccb95bb4_m.jpg
1,아삭아삭 연근장아찌 만들기,연근은 비타민C와 식이섬유소가 풍부하고 빈혈예방에 탁월하고 코피가 자주나는 아이들에게도 좋고. 고혈압도 예방해 준답니다. 어른들도 좋고 아이들도 좋은 연근~ 맛나게 많이 많이 먹어야겠죠. 아삭아삭 씹는맛이 좋은 연근장아찌 레시피 알려드릴게요.,[재료] 연근  [양념비율(200ml 계량컵 기준)] 간장  1 물  1 설탕  0.5 식초  0.5,연근은 감자칼로 껍질을 벗겨주었어요. 슥슥 0.5mm정도 잘라주었답니다. 찬물에 식초 1숟가락 정도 넣고 연근을 담궈주었답니다. 갈변도 막아주고 아린맛을 제거해 준답니다. 식초물에 담궈놓은 연근은 체에 걸려서 물기를 탈탈 빼주었답니다. 간장 물 설탕 마지막에 식초를 넣고 보글 보글 끓여주었어요. 식초는 끓기 시작하면 마지막에 넣어주면 된답니다. 비율은 간장(1) 물(1) 설탕(0.5) 식초 (0.5) 열탕소독한 유리병에 연근을 넣고 끓옂놓은 간장을 넣어주면 간장장아찌가 완성이 된답니다. 오래 두고 드시고 싶다면 3일 후 끓인 후 식혀서 간장을 넣어주면 오래 두고 두고 드실 수 있답니다.,저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/29/1ee7a544722cca291fa4e859152de2cb1_m.jpg
2,아보카도 스프레드 연어 샌드위치,근사한 오픈샌드위치 만드는 법을 알려드립니다.,[재료] 식빵  1장 훈제연어 슬라이스  2쪽 오이  1/2개 크랜베리  약간 [양념] 홀그레인 머스타드  1/2큰술 아보카도 스프레드  100g,오이는 필러로 얇게 슬라이스해 주세요. 식빵은 그릴 팬에서 앞뒤로 바삭하게 구워 주세요. 구운 식빵에 홀그레인 머스터드를 바른 후 아보카도 스프레드를 충분히 발라주세요. 그 위에 슬라이스 오이를 듬뿍 얹어줍니다. 훈제연어와 크랜베리를 올려 주면 끝.,저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/851e167faadd311137361b84b97512611_m.jpg
3,아보카도 멜론 냉수프 만들기,만들기 간단하고 맛이 고급스러운 멜론 냉수프,[재료] 아보카도  1/4개 멜론  1/4개 우유(농도 조절용으로)  약간,"잘 익은 멜론과 아보카도, 우유를 준비해 주세요. 우유는 농도 조절용으로 사용하셔도 되고 안 하셔도 됩니다. 참고로 전 사용하지 않았습니다. 껍질을 벗긴 아보카도와 멜론은 적당한 크기로 잘라 주세요. 믹서기에 넣고 곱게 갈아 주세요. 곱게 간 아보카도와 멜론은 예쁜 수프 접시에 담아내시면 됩니다.",저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/10/c260fe18541cfacb7605d67104a56ee71_m.jpg
4,훈제연어샐러드 만드는법,연어는 어떻게 먹어도 좋지요~ 다양한 요리 방법 중 이번엔 샐러드로 만들어 보았어요 그냥 연어만으로도 충분하지만 야채와 같이 먹으면 맛과 영양이 배가 되겠지요~ 좋아하는 재료 듬뿍 넣어 푸짐하게 만든 연어샐러드 만들기 시작할께요.,[재료] 훈제연어  180g 양상추  치커리  양파  방울토마토  블랙올리브  크루통  [양념] 발사믹글레이즈  타르타르소스 ,"연어는 진공포장 그대로 찬물에 담갔다 해동한 후 비닐을 벗겨주세요. 채소는 찬물에 씻어 물기를 뺀 후 먹기 좋은 크기로 뜯어주세요. 크루통은 연어를 해동하는 동안 식빵을 썰어 오븐에 미리 구워놓았어요.오븐 접시에 채소를 넉넉히 담고 연어와 올리브, 크루통, 양파채를 보기 좋게 얹어주세요. 드레싱을 뿌리는걸 싫어해서 찍어 먹으라고 타르타르 소스와 발사믹글레이즈도 종지에 담아놓았어요.",저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/31/97562b248dda8877378bad8fda5b900a1_m.jpg
5,다이어트식 도토리묵 무침,"다이어트식, 반찬, 안주로도 좋은 도토리묵무침 레시피",[재료] 도토리묵  250g 구운김  1+1/2장 [양념] 간장  2큰술 맛술  1큰술 다진마늘  1/3작은술 다진파  1큰술 고추가루  1작은술 참기름  1작은술 통깨  1큰술,"김은 바삭하게 구워 비닐봉투에 넣어 마구마구 부셔주세요. 도토리묵은 먹기좋게 썰어주시구요. 양념장을 만들어줍니다. (간장 2큰술, 맛술 1큰술, 다진마늘 1/3작은술, 다진파 1큰술, 고추가루 1작은술, 참기름1작은술, 통깨 1큰술) 양념장재료를 모두 넣어 섞어주신 후에 묵과 김을 넣어 살살 무쳐주세요. 그릇에 담고 통깨와 쏭쏭 썬 파 솔솔 뿌려주시면 완성!",저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/09/f0f6d0c35281893454a4c030b11fae841_m.jpg
6,열량줄인 다이어트 김밥,제목처럼 다이어트 김밥이에요. 현미와 검정콩 섞은 밥에 채소를 듬뿍 넣고 닭가슴살을 넣어 만든 김밥. 단맛이 강한 단무지 대신에 순수한 무를 소금에 절여 만든 비트 무만 있으면 언제나 즉석에서 건강한 다이어트 김밥을 만들 수 있어요.,[재료] 채소  닭가슴살  [양념] 들기름 ,"뒷줄 왼쪽 붉은 색이 도는 다홍채와 케일잎, 오른쪽이 생채. 채소류는 유기농으로 깨끗이 씻어 물기를 털어 준비합니다. 무를 단무지 굵기로 썰어 소금과 비트를 썰어 담그면 이렇게 예쁜물이 들어요. 달걀 지단을 도툼하게 붙이고 닭가슴살은 물기를 대충 빼서 준비했어요. 고슬하게 밥을 해서 들기름과 소금을 넣고 섞어서 김위에 밥을 올려 주세요. 달걀지단이랑 비트물들인 무와 채소를 듬뿍 올리고 닭가슴살도 올려 돌돌 가볍게 말아 주세요. 따뜻할 때 썰어 드세요. 로즈잎을 깔고 김밥을 올려서 로즈잎과 같이 먹어도 맛있어요.",저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/2107de5381d52d9138e3a0ce2f331140_m.jpg
7,"파프리카 샐러드, 파프리카 다이어트","채소 중에 가장 식감이 좋다는 빨강과 노랑, 주황의 파프리카로 만든 단맛과 아삭함이 일품인 파프리카 샐러드입니다",[재료] 빨강파프리카  노랑파프리카  말린버섯  약간 적양파(소)  1개 토마토  식초  약간 케일잎  쑥갓  비타민다채  약간,채소는 씻어 준비하고요. 말린 버섯도 먹을 양만큼 씻어 주세요. 말린 버섯은 쫄깃해서 생으로 먹거나 뜨거운 물에 살짝 데쳐 드셔도 좋아요. 적양파는 링모양으로 썰어 준비합니다. 파프리카는 먹기 좋은 크기로 적당하게 썰어 담아 주고 비타민다채와 채소류도 먹을만큼 담아주세요. 빨강의 토마토 식초예요. 샐러드에 보통 발사믹 식초나 프렌치드레싱을 사용하는데 제가 여고 때 프렌치 드레싱을 곧잘 만들었었는데 칼로리가 제로에 가까운지라 제가 좋아하는 드레싱입니다.,저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/08/a3881879135a8ca09373439f15c0de1c1_m.jpg
8,곤약 무침,다이어트에 좋다는 곤약무침을 만들어 보았네요.,[재료] 곤약(250g)  1개 돌나물  100g 당근  10g 양파  10g [양념] 고추장  1큰술 고춧가루  1작은술 다진 마늘  1작은술 식초  1큰술 조청  1큰술 소금  2꼬집,"먼저 곤약을 0.5㎝ 두께로 썰어주세요. 가운데 3㎝ 정도의 칼집을 넣어서 그 가운데 칼집 속으로 가장자리를 집어넣어 빼 주세요. 곤약은 끓는 물에 식초 1큰술을 넣고 1~2분 정도 끓인 다음 찬물에 헹궈 주면 곤약 냄새 없이 요리할 수 있어요. 당근, 대파, 양파를 손질하여 채 썰어주세요. 돌나물은 깨끗이 씻어 건져 물기를 빼주세요. 고추장 1큰술, 고춧가루 1작은술, 다진 마늘 1작은술, 식초 1큰술, 조청 1큰술, 소금 2꼬집을 넣고 고루 섞어 주세요. 볼에 곤약, 돌나물, 당근채, 양파채, 돌나물, 양념장을 넣고 버무려 주세요.",저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/20/4e84dcd42acfd89289bbf79d9bc406db1_m.jpg
9,초간단 파래초무침,초간단 파래 초무침,[재료] 무  1토막 (150g) 파래  1컵 [양념] 소금  1/3작은술 통깨  1/3작은술 국간장  1/2큰술 식초  3큰술 매실청  2큰술 설탕  1/2작은술 다진마늘  1/3작은술,"무는 소금을 뿌려 무가 숨이 죽을때까지 절여주세요. 절인후에 찬물로 씻어 물기 제거해 준비해주시구요 파래는 흐르는 물에 흔들어 건져서 물기 짜서 준비해주세요 볼에 양념장을 모두 넣어 섞어 주시구요 파래와,절인 무채를 넣어 섞어주시고 마지막에 통깨 솔솔 뿌려주시면 완성이랍니다~ 취향껏 매실청,설탕,식초양은 조절해주시면 된답니다~~",저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/09/6b5d992c42b26fb3594594c536ace97c1_m.jpg
