,recipeID,recipe_name,summary,ingredient_name,category,recipe_image_link,main_source,all
0,0,우엉양배추볶음밥,찬밥이 기다려지는 우엉양배추볶음밥입니다.,[재료] 찬 밥  적당량 양배추  적당량 우엉  적당량 느타리버섯  조금 다시마  (선택사항) [우엉 양념장] 일반간장  2숟가락 쌀엿  1/2숟가락 맛술  약간 참기름  약간 소금 ,저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/09/14/80c02dbd5837de6885876b30ccb95bb4_m.jpg,"['찬', '밥', '적당량', '양배추', '적당량', '우엉', '적당량', '느타리버섯', '조금', '다시마', '선택사항', '우엉']","['우엉', '양배추', '볶음밥', '찬밥', '우엉', '양배추', '볶음밥', '찬', '밥', '적당량', '양배추', '적당량', '우엉', '적당량', '느타리버섯', '조금', '다시마', '선택사항', '우엉', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트']"
1,1,아삭아삭 연근장아찌 만들기,연근은 비타민C와 식이섬유소가 풍부하고 빈혈예방에 탁월하고 코피가 자주나는 아이들에게도 좋고. 고혈압도 예방해 준답니다. 어른들도 좋고 아이들도 좋은 연근~ 맛나게 많이 많이 먹어야겠죠. 아삭아삭 씹는맛이 좋은 연근장아찌 레시피 알려드릴게요.,[재료] 연근  [양념비율(200ml 계량컵 기준)] 간장  1 물  1 설탕  0.5 식초  0.5,저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/29/1ee7a544722cca291fa4e859152de2cb1_m.jpg,['연근'],"['연근', '장아찌', '연근', '비타민', '식이', '섬유소', '빈혈', '예방', '코피', '아이', '혈압', '예방', '어른', '아이', '연근', '맛', '연근', '장아찌', '연근', '다이어트', '음식', '음식', '연근조림', '다이어트', '설현', '몸매', '꿀맛', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트']"
2,2,아보카도 스프레드 연어 샌드위치,근사한 오픈샌드위치 만드는 법을 알려드립니다.,[재료] 식빵  1장 훈제연어 슬라이스  2쪽 오이  1/2개 크랜베리  약간 [양념] 홀그레인 머스타드  1/2큰술 아보카도 스프레드  100g,저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/851e167faadd311137361b84b97512611_m.jpg,"['식빵', '훈제연어', '슬라이스', '오이', '크랜베리', '약간']","['아보카도', '스프레드', '연어', '샌드위치', '오픈', '샌드위치', '법', '식빵', '훈제연어', '슬라이스', '오이', '크랜베리', '약간', '이거', '독일', '저칼로리 다이어트', '저칼로리 다이어트']"
3,3,아보카도 멜론 냉수프 만들기,만들기 간단하고 맛이 고급스러운 멜론 냉수프,[재료] 아보카도  1/4개 멜론  1/4개 우유(농도 조절용으로)  약간,저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/10/c260fe18541cfacb7605d67104a56ee71_m.jpg,"['아보카도', '멜론', '우유농도', '조절용으로', '약간']","['아보카도', '멜론', '냉수프', '맛', '고급', '멜론', '냉수프', '아보카도', '멜론', '우유농도', '조절용으로', '약간', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트']"
4,4,훈제연어샐러드 만드는법,연어는 어떻게 먹어도 좋지요~ 다양한 요리 방법 중 이번엔 샐러드로 만들어 보았어요 그냥 연어만으로도 충분하지만 야채와 같이 먹으면 맛과 영양이 배가 되겠지요~ 좋아하는 재료 듬뿍 넣어 푸짐하게 만든 연어샐러드 만들기 시작할께요.,[재료] 훈제연어  180g 양상추  치커리  양파  방울토마토  블랙올리브  크루통  [양념] 발사믹글레이즈  타르타르소스 ,저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/31/97562b248dda8877378bad8fda5b900a1_m.jpg,"['훈제연어', '양상추', '치커리', '양파', '방울토마토', '블랙올리브', '크루통']","['훈제', '연어', '샐러드', '법', '연어', '방법', '중', '이번', '샐러드', '연어', '야채', '맛', '영양', '배', '재료', '연어', '샐러드', '시작', '훈제연어', '양상추', '치커리', '양파', '방울토마토', '블랙올리브', '크루통', '감사', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트']"
5,5,다이어트식 도토리묵 무침,"다이어트식, 반찬, 안주로도 좋은 도토리묵무침 레시피",[재료] 도토리묵  250g 구운김  1+1/2장 [양념] 간장  2큰술 맛술  1큰술 다진마늘  1/3작은술 다진파  1큰술 고추가루  1작은술 참기름  1작은술 통깨  1큰술,저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/09/f0f6d0c35281893454a4c030b11fae841_m.jpg,"['도토리묵', '구운김']","['다이어트', '식', '도토리묵', '무침', '다이어트', '식', '반찬', '안주', '도토리묵', '무침', '도토리묵', '구운김', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트']"
6,6,열량줄인 다이어트 김밥,제목처럼 다이어트 김밥이에요. 현미와 검정콩 섞은 밥에 채소를 듬뿍 넣고 닭가슴살을 넣어 만든 김밥. 단맛이 강한 단무지 대신에 순수한 무를 소금에 절여 만든 비트 무만 있으면 언제나 즉석에서 건강한 다이어트 김밥을 만들 수 있어요.,[재료] 채소  닭가슴살  [양념] 들기름 ,저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/2107de5381d52d9138e3a0ce2f331140_m.jpg,"['채소', '닭가슴살']","['열량', '다이어트', '김밥', '제목', '다이어트', '김밥', '현미', '검정콩', '밥', '채소', '닭', '가슴살', '김밥', '단맛', '단무지', '대신', '순수', '무', '소금', '비트', '무', '즉석', '건강', '다이어트', '김밥', '채소', '닭가슴살', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트']"
7,7,"파프리카 샐러드, 파프리카 다이어트","채소 중에 가장 식감이 좋다는 빨강과 노랑, 주황의 파프리카로 만든 단맛과 아삭함이 일품인 파프리카 샐러드입니다",[재료] 빨강파프리카  노랑파프리카  말린버섯  약간 적양파(소)  1개 토마토  식초  약간 케일잎  쑥갓  비타민다채  약간,저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/08/a3881879135a8ca09373439f15c0de1c1_m.jpg,"['빨강파프리카', '노랑파프리카', '말린버섯', '약간', '적양파소', '토마토', '식초', '약간', '케일잎', '쑥갓', '비타민다채', '약간']","['파프리카', '샐러드', '파프리카', '다이어트', '채소', '중', '식감', '빨강', '노랑', '주황', '파프리카', '단맛', '일품', '파프리카', '샐러드', '빨강파프리카', '노랑파프리카', '말린버섯', '약간', '적양파소', '토마토', '식초', '약간', '케일잎', '쑥갓', '비타민다채', '약간', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트']"
8,426,"파프리카 샐러드, 파프리카 다이어트","채소 중에 가장 식감이 좋다는 빨강과 노랑, 주황의 파프리카로 만든 단맛과 아삭함이 일품인 파프리카 샐러드입니다",[재료] 빨강파프리카  노랑파프리카  말린버섯  약간 적양파(소)  1개 토마토  식초  약간 케일잎  쑥갓  비타민다채  약간,피로회복,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/08/a3881879135a8ca09373439f15c0de1c1_m.jpg,"['빨강파프리카', '노랑파프리카', '말린버섯', '약간', '적양파소', '토마토', '식초', '약간', '케일잎', '쑥갓', '비타민다채', '약간']","['파프리카', '샐러드', '파프리카', '다이어트', '채소', '중', '식감', '빨강', '노랑', '주황', '파프리카', '단맛', '일품', '파프리카', '샐러드', '빨강파프리카', '노랑파프리카', '말린버섯', '약간', '적양파소', '토마토', '식초', '약간', '케일잎', '쑥갓', '비타민다채', '약간', '피로회복', '피로회복', '피로회복', '피로회복']"
9,8,곤약 무침,다이어트에 좋다는 곤약무침을 만들어 보았네요.,[재료] 곤약(250g)  1개 돌나물  100g 당근  10g 양파  10g [양념] 고추장  1큰술 고춧가루  1작은술 다진 마늘  1작은술 식초  1큰술 조청  1큰술 소금  2꼬집,저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/20/4e84dcd42acfd89289bbf79d9bc406db1_m.jpg,"['곤약', '돌나물', '당근', '양파']","['곤약', '무침', '다이어트', '곤약', '무침', '곤약', '돌나물', '당근', '양파', '다이어트', '파', '대신', '부추', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트']"
10,9,초간단 파래초무침,초간단 파래 초무침,[재료] 무  1토막 (150g) 파래  1컵 [양념] 소금  1/3작은술 통깨  1/3작은술 국간장  1/2큰술 식초  3큰술 매실청  2큰술 설탕  1/2작은술 다진마늘  1/3작은술,저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/04/09/6b5d992c42b26fb3594594c536ace97c1_m.jpg,"['무', '파래']","['간단', '파래초', '무침', '초', '파래', '초', '무침', '무', '파래', '감사', '파래초', '무침', '양념', '하루만', '감사', '식초', '매실', '즙', '바다', '향', '맛', '덕분', '식초', '매실', '액', '가감', '겨울', '바다', '향', '파래무침', '만족', '매실', '액', '식', '초', '간장', '설탕', '물기', '냉장고', '비린내', '명절', '음식', '사이', '파래초', '무침', '인기', '짱', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트']"
11,10,미역 오이냉국,시원하고 상큼한 오이미역냉국입니다.,[재료] 청오이  1/2개 마른 미역  20g 물  3컵 [양념] 소금  1큰술 설탕  4큰술 식초  6큰술 통깨  1큰술,저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/10/b31d92aee9b1e6df1767e56195b38b331_m.jpg,"['청오이', '마른', '미역', '물']","['미역', '오이', '냉국', '오이', '미역', '냉국', '청오이', '마른', '미역', '물', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트']"
12,11,미역자반볶음,김자반과는 다른 짭쪼름한 맛의 미역자반볶음입니다.,[재료] 건미역줄기  통깨  식용유  3큰술 [양념] 설탕  1큰술,저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/08/10/0150c097982511e83bf3324a8922aeed1_m.jpg,"['건미역줄기', '통깨', '식용유']","['미역', '자반', '볶음', '김', '자반', '짭쪼름', '맛', '미역', '자반', '볶음', '건미역줄기', '통깨', '식용유', '맛', '짭쪼름', '얘', '얘', '물엿', '설탕', '감사', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트']"
13,12,재래김볶음,오래된 김이 많을 때 반찬으로 재활용하기 그만인 바삭하면서도 짭쪼름한 김볶음을 소개합니다!,[재료] 김  10장 카놀라유  3큰술 [양념] 간장  1큰술 청주  1/3큰술 물엿  1/3큰술 황설탕  1/2큰술 통깨  1/2큰술,저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/07/b2a4b1e5eb2fc5f19301c5ed138f34571_m.jpg,"['김', '카놀라유']","['재래', '김', '볶음', '김', '반찬', '활용', '만인', '짭쪼름', '김', '볶음', '소개', '김', '카놀라유', '애', '만', '둘', '감사', '맛', '손', '짠맛', '손', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트', '저칼로리 다이어트']"
14,13,파래김무침 만들기,"간단하고 맛있는 파래김무침, 밥도둑이 따로 없죠~",[재료] 파래김  15장 쪽파  40g [양념] 진간장  2큰술 고춧가루  1큰술 설탕  1/2큰술 참기름  2큰술 깨소금  1/2큰술,저칼로리 다이어트,https://recipe1.ezmember.co.kr/cache/recipe/2015/05/06/31ab82afd5b2eb84668d1a55e0e2265b1_m.JPG,"['파래김', '쪽파']","['파래', '김', '무침', '파래김무침', '밥도둑', '파래김', '쪽파', '방법', '나무', '숫', '갈', '데', '저칼로리 다이어트']"
